 --> Category: RECO_VBFLIKEGGH_Tag0
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 17.84%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2018_hgg = 2.10%
    * ggH_1J_PTH_60_120_2018_hgg = 1.06%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2018_hgg = 11.10%

 --> Category: RECO_VBFTOPO_JET3_HIGHMJJ_Tag0
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 25.77%
    * qqH_1J_2016_hgg = 2.17%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 17.22%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 5.15%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 2.42%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_0_25_2016_hgg = 1.16%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2017_hgg = 3.39%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2017_hgg = 4.40%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2017_hgg = 1.82%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 7.91%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 11.02%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2018_hgg = 3.46%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2018_hgg = 2.65%

 --> Category: RECO_VBFTOPO_JET3_HIGHMJJ_Tag1
    * qqH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 1.15%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 17.10%
    * qqH_1J_2016_hgg = 1.62%
    * ggH_1J_PTH_0_60_2016_hgg = 1.21%
    * ggH_GE2J_MJJ_350_700_PTH_0_200_PTHJJ_GT25_2016_hgg = 1.63%
    * ggH_1J_PTH_60_120_2016_hgg = 1.21%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 8.83%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2016_hgg = 13.06%
    * ggH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2016_hgg = 2.09%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_GT25_2017_hgg = 3.45%
    * qqH_GE2J_MJJ_GT700_PTH_0_200_PTHJJ_0_25_2017_hgg = 2.63%
