# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale
photonCatScalesCorr=MaterialCentral_scale,MaterialForward_scale,FNUFEE_scale,FNUFEB_scale,ShowerShapeHighR9EE_scale,ShowerShapeHighR9EB_scale,ShowerShapeLowR9EE_scale,ShowerShapeLowR9EB_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale:UntaggedTag_0:2,Geant4_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
LowR9EBPhi_13TeVsmear         5.038e-05     0.004114     0.0006361    
LowR9EBRho_13TeVsmear         2.29e-05     0.0001152     0.0001178    
LowR9EEPhi_13TeVsmear         5.74e-06     0.004935     0.0009353    
LowR9EERho_13TeVsmear         2.618e-05     0.0004699     5.786e-05    
MaterialCentral_scale         0.0002737     0.00151     0.0001358    
MaterialForward_scale         0.0006677     0.002249     0.0007637    
FNUFEE_scale                  0.0001384     0.002845     0.0003151    
FNUFEB_scale                  3.997e-05     0.002125     0.0002016    
ShowerShapeHighR9EE_scale     0.0001849     0.001432     0.0005281    
ShowerShapeHighR9EB_scale     7.145e-05     0.0004783     0.0002418    
ShowerShapeLowR9EE_scale      8.002e-05     0.0007029     6.638e-05    
ShowerShapeLowR9EB_scale      5.121e-05     0.0002295     0.0002923    

diphotonCat=3
proc=zh
HighR9EB_13TeVscale           0.0003616     0.00464     0.0006049    
