# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale,Gain1EB_13TeVscale,Gain6EB_13TeVscale
photonCatScalesCorr=MaterialCentralBarrel_scale,MaterialOuterBarrel_scale,MaterialForward_scale,FNUFEE_scale,FNUFEB_scale,ShowerShapeHighR9EE_scale,ShowerShapeHighR9EB_scale,ShowerShapeLowR9EE_scale,ShowerShapeLowR9EB_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale:UntaggedTag_0:2,Geant4_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=GG2H
ShowerShapeLowR9EB_scale      3.023e-05     0.001282     1.882e-07    

diphotonCat=0
proc=ZH2HQQ
HighR9EB_13TeVscale           0.0008208     0.02266     0.003519    
HighR9EE_13TeVscale           1.12e-05     0.001778     4.406e-08    
LowR9EB_13TeVscale            0.0008412     0.008386     0.002547    
LowR9EE_13TeVscale            6.436e-06     0.0009267     3.063e-08    
Gain1EB_13TeVscale            0.0001281     0.006244     3.631e-08    
Gain6EB_13TeVscale            7.385e-05     0.0002763     5.839e-08    
HighR9EBPhi_13TeVsmear        0.0002484     0.09654     0.008423    
HighR9EBRho_13TeVsmear        7.197e-05     0.02222     0.001736    
HighR9EEPhi_13TeVsmear        0.0001709     2.809e-05     0.001728    
HighR9EERho_13TeVsmear        1.668e-05     2.778e-05     2.991e-08    
LowR9EBPhi_13TeVsmear         0.0002008     0.039     0.002252    
LowR9EBRho_13TeVsmear         1.537e-05     0.01235     0.001669    
LowR9EEPhi_13TeVsmear         2.96e-05     0.002636     7.028e-08    
LowR9EERho_13TeVsmear         7.647e-06     0.0009267     2.937e-08    
MaterialCentralBarrel_scale   0.0002022     0.01255     0.000101    
MaterialOuterBarrel_scale     0.0003653     0.01413     5.073e-08    
MaterialForward_scale         8.408e-05     0.001797     5.307e-08    
FNUFEE_scale                  1.135e-05     0.001267     5.37e-08    
FNUFEB_scale                  0.0002788     0.008072     0.002547    
ShowerShapeHighR9EE_scale     1.12e-05     0.0009267     2.991e-08    
ShowerShapeHighR9EB_scale     0.0004472     0.00985     0.0008228    
ShowerShapeLowR9EE_scale      2.648e-05     0.0009267     3.118e-08    
ShowerShapeLowR9EB_scale      2.344e-05     0.004413     6.415e-08    

diphotonCat=0
proc=testBBH
HighR9EB_13TeVscale           0.0008704     0.03784     0.005266    
HighR9EE_13TeVscale           9.497e-05     0.000469     0.0008577    
LowR9EB_13TeVscale            0.0006547     0.0283     0.006829    
LowR9EE_13TeVscale            0.0001068     0.001142     3.265e-07    
Gain1EB_13TeVscale            0.0001173     0.002537     3.364e-07    
Gain6EB_13TeVscale            9.147e-05     0.00661     0.001766    
HighR9EBPhi_13TeVsmear        1.54e-05     0.1519     0.0009157    
HighR9EBRho_13TeVsmear        0.0001677     0.03795     0.002837    
HighR9EEPhi_13TeVsmear        0.0001312     0.007878     0.003592    
HighR9EERho_13TeVsmear        0.000108     0.003385     3.464e-07    
LowR9EBPhi_13TeVsmear         0.0002812     0.001688     0.009685    
LowR9EBRho_13TeVsmear         9.37e-05     0.007032     0.002533    
LowR9EEPhi_13TeVsmear         6.52e-05     0.001121     0.001671    
LowR9EERho_13TeVsmear         0.0001134     0.002308     3.262e-07    
MaterialCentralBarrel_scale   0.0002776     0.008855     0.0008956    
MaterialOuterBarrel_scale     0.000195     0.01043     0.002829    
MaterialForward_scale         8.652e-05     0.0005374     5.251e-06    
FNUFEE_scale                  0.0001115     0.0007991     0.0008577    
FNUFEB_scale                  0.0001731     0.01746     0.003531    
ShowerShapeHighR9EE_scale     0.0001104     0.0001492     3.404e-07    
ShowerShapeHighR9EB_scale     0.0004489     0.01238     0.001231    
ShowerShapeLowR9EE_scale      0.0001103     0.002308     3.265e-07    
ShowerShapeLowR9EB_scale      6.779e-05     0.002508     0.0002712    

diphotonCat=0
proc=testTHQ
HighR9EB_13TeVscale           0.000903     0.01302     0.0002896    
HighR9EE_13TeVscale           2.472e-05     0.0004539     6.21e-05    
LowR9EB_13TeVscale            0.0007721     0.00876     0.0003538    
LowR9EE_13TeVscale            6.306e-06     0.0001036     6.991e-07    
Gain1EB_13TeVscale            0.0001444     0.001866     2.312e-06    
Gain6EB_13TeVscale            0.0001107     0.001877     6.475e-05    
HighR9EBPhi_13TeVsmear        8.656e-05     0.1226     0.000144    
HighR9EBRho_13TeVsmear        7.634e-06     0.02579     0.000132    
HighR9EEPhi_13TeVsmear        1.831e-05     0.007029     0.0002615    
HighR9EERho_13TeVsmear        2.883e-06     0.0003782     6.944e-07    
LowR9EBPhi_13TeVsmear         6.87e-07     0.05242     0.0007083    
LowR9EBRho_13TeVsmear         4.945e-06     0.01139     0.000271    
LowR9EEPhi_13TeVsmear         1.113e-05     0.002072     2.077e-05    
LowR9EERho_13TeVsmear         3.251e-06     0.0003889     6.863e-07    
MaterialCentralBarrel_scale   0.0002443     0.00313     0.0001411    
MaterialOuterBarrel_scale     0.0003072     0.001014     0.0001247    
MaterialForward_scale         6.145e-05     0.0002828     5.225e-06    
FNUFEE_scale                  6.271e-06     5.425e-05     6.832e-07    
FNUFEB_scale                  0.0003198     0.003288     0.0001506    
ShowerShapeHighR9EE_scale     3.739e-06     0.0001777     6.773e-07    
ShowerShapeHighR9EB_scale     0.0004724     0.006742     0.0001819    
ShowerShapeLowR9EE_scale      1.116e-05     0.0003545     6.89e-07    
ShowerShapeLowR9EB_scale      9.145e-06     0.0006742     0.0001412    

diphotonCat=0
proc=testTHW
HighR9EB_13TeVscale           0.0008864     0.009584     0.0001433    
HighR9EE_13TeVscale           2.899e-05     0.0001656     4.758e-05    
LowR9EB_13TeVscale            0.000796     0.004922     0.0002086    
LowR9EE_13TeVscale            6.88e-06     0.0001076     9.893e-07    
Gain1EB_13TeVscale            0.000336     0.003293     0.0001148    
Gain6EB_13TeVscale            0.0001629     0.001155     0.0001739    
HighR9EBPhi_13TeVsmear        2.298e-05     0.1219     3.027e-05    
HighR9EBRho_13TeVsmear        7.236e-07     0.02406     0.0002669    
HighR9EEPhi_13TeVsmear        4.444e-06     0.005175     3.345e-05    
HighR9EERho_13TeVsmear        1.871e-06     0.0006948     9.68e-07    
LowR9EBPhi_13TeVsmear         1.34e-05     0.06204     0.0001278    
LowR9EBRho_13TeVsmear         2.131e-06     0.01164     0.0001283    
LowR9EEPhi_13TeVsmear         1.077e-05     0.002124     2.022e-05    
LowR9EERho_13TeVsmear         1.283e-06     0.0003738     1.86e-05    
MaterialCentralBarrel_scale   0.0002342     0.002157     2.812e-05    
MaterialOuterBarrel_scale     0.0003219     0.001764     0.0001534    
MaterialForward_scale         6.536e-05     0.0001624     4.188e-05    
FNUFEE_scale                  9.246e-06     0.000134     9.698e-07    
FNUFEB_scale                  0.0003126     0.003845     0.000199    
ShowerShapeHighR9EE_scale     3.982e-06     0.0002497     9.755e-07    
ShowerShapeHighR9EB_scale     0.0004678     0.004559     8.943e-05    
ShowerShapeLowR9EE_scale      1.336e-05     0.0001535     4.155e-05    
ShowerShapeLowR9EB_scale      4.631e-06     0.0002748     4.658e-05    


diphotonCat=1
proc=GG2H
HighR9EB_13TeVscale           0.0008206     0.01504     0.0003644    
HighR9EE_13TeVscale           3.64e-05     0.0001303     5.848e-05    
LowR9EB_13TeVscale            0.0005566     0.007702     0.0001291    
