# this file has been autogenerated by calcPhotonSystConsts.cpp

photonCatScales=HighR9EB_13TeVscale,HighR9EE_13TeVscale,LowR9EB_13TeVscale,LowR9EE_13TeVscale
photonCatScalesCorr=MaterialCentral_scale,MaterialForward_scale
photonCatSmears=HighR9EBPhi_13TeVsmear,HighR9EBRho_13TeVsmear,HighR9EEPhi_13TeVsmear,HighR9EERho_13TeVsmear,LowR9EBPhi_13TeVsmear,LowR9EBRho_13TeVsmear,LowR9EEPhi_13TeVsmear,LowR9EERho_13TeVsmear
globalScales=NonLinearity_13TeVscale,Geant4_13TeVscale,LightYield_13TeVscale,Absolute_13TeVscale

# photonCat                   mean_change    sigma_change    rate_change
diphotonCat=0
proc=ggh
HighR9EEPhi_13TeVsmear        2.734e-05     0.04499     0.001222    
HighR9EERho_13TeVsmear        1.091e-05     0.004104     0.0002183    
LowR9EBPhi_13TeVsmear         2.123e-06     0.0439     0.001213    
LowR9EBRho_13TeVsmear         2.698e-05     0.006544     0.0004129    
LowR9EEPhi_13TeVsmear         1.75e-05     0.01362     0.0005453    
LowR9EERho_13TeVsmear         1.7e-05     0.0008747     0.0001202    
MaterialCentral_scale         0.0003302     0.006489     0.0002979    
MaterialForward_scale         0.0008982     0.01029     0.0003355    

diphotonCat=1
proc=zh
HighR9EB_13TeVscale           0.0007685     0.01625     0.000602    
HighR9EE_13TeVscale           6.634e-05     0.0001148     0.000195    
LowR9EB_13TeVscale            0.000596     0.003154     0.0008118    
LowR9EE_13TeVscale            4.119e-05     0.0003809     0.0003055    
HighR9EBPhi_13TeVsmear        5.271e-05     0.1451     0.004503    
HighR9EBRho_13TeVsmear        4.458e-05     0.03152     0.0004609    
HighR9EEPhi_13TeVsmear        9.048e-06     0.03655     0.0008829    
HighR9EERho_13TeVsmear        4.872e-05     0.003885     0.0001537    
LowR9EBPhi_13TeVsmear         0.0001095     0.072     0.003313    
LowR9EBRho_13TeVsmear         5.316e-05     0.01147     0.0007499    
LowR9EEPhi_13TeVsmear         1.954e-05     0.01083     0.000267    
LowR9EERho_13TeVsmear         3.75e-05     0.001108     8.928e-08    
MaterialCentral_scale         0.0003282     0.007806     0.0003928    
MaterialForward_scale         0.0008442     0.01195     0.001054    


diphotonCat=2
proc=ggh
HighR9EB_13TeVscale           0.0006516     0.003838     0.0001696    
HighR9EE_13TeVscale           9.408e-05     0.0001778     0.000126    
LowR9EB_13TeVscale            0.0007563     0.005424     0.000184    
LowR9EE_13TeVscale            2.033e-05     5.292e-05     6.453e-06    
HighR9EBPhi_13TeVsmear        4.405e-05     0.08175     6.112e-05    
HighR9EBRho_13TeVsmear        1.138e-05     0.01403     0.0001763    
HighR9EEPhi_13TeVsmear        3.109e-05     0.05661     0.0004623    
HighR9EERho_13TeVsmear        4.395e-06     0.005006     0.0001641    
LowR9EBPhi_13TeVsmear         1.863e-06     0.05761     0.0006103    
LowR9EBRho_13TeVsmear         9.016e-06     0.00661     0.0001227    
LowR9EEPhi_13TeVsmear         1.109e-05     0.01121     0.0001755    
LowR9EERho_13TeVsmear         4.694e-06     0.0004435     3.037e-05    
MaterialCentral_scale         0.0003007     0.00224     0.0001554    
MaterialForward_scale         0.001089     0.006041     0.000217    

diphotonCat=2
proc=vbf
HighR9EB_13TeVscale           0.0005571     0.009277     0.0004882    
HighR9EE_13TeVscale           0.0001375     0.00085     0.0002353    
LowR9EB_13TeVscale            0.0007826     0.008625     0.0006431    
LowR9EE_13TeVscale            3.691e-05     0.000717     0.0001131    
HighR9EBPhi_13TeVsmear        4.26e-05     0.06405     0.0001704    
HighR9EBRho_13TeVsmear        1.416e-05     0.0133     0.0005853    
HighR9EEPhi_13TeVsmear        5.875e-05     0.07696     0.0005675    
HighR9EERho_13TeVsmear        1.598e-05     0.008727     0.000385    
LowR9EBPhi_13TeVsmear         2.829e-06     0.05968     0.0008284    
LowR9EBRho_13TeVsmear         1.804e-05     0.008795     0.0002768    
LowR9EEPhi_13TeVsmear         2.438e-05     0.01948     4.912e-05    
LowR9EERho_13TeVsmear         9.669e-06     0.001432     0.0002034    
MaterialCentral_scale         0.0002706     0.005616     0.0003763    
MaterialForward_scale         0.001332     0.01174     0.0003936    

diphotonCat=2
proc=tth
HighR9EB_13TeVscale           0.0006849     0.003252     0.001986    
HighR9EE_13TeVscale           0.0001178     0.00342     0.001369    
LowR9EB_13TeVscale            0.0007032     0.008682     0.001269    
LowR9EE_13TeVscale            1.189e-05     0.001041     2.856e-05    
HighR9EBPhi_13TeVsmear        0.0002522     0.06609     0.002286    
HighR9EBRho_13TeVsmear        8.125e-06     0.01917     0.001137    
HighR9EEPhi_13TeVsmear        0.0003543     0.06517     0.005692    
HighR9EERho_13TeVsmear        1.887e-05     0.007182     0.001273    
LowR9EBPhi_13TeVsmear         9.545e-05     0.02351     0.001147    
LowR9EBRho_13TeVsmear         7.857e-06     0.007776     0.0005686    
LowR9EEPhi_13TeVsmear         0.0001313     0.01757     0.0006038    
LowR9EERho_13TeVsmear         1.446e-05     0.001838     0.0006147    
MaterialCentral_scale         0.0002908     0.00179     0.000409    
MaterialForward_scale         0.001133     0.009685     0.001532    

diphotonCat=2
proc=wh
HighR9EB_13TeVscale           0.0005225     0.005813     0.0005743    
HighR9EE_13TeVscale           0.000156     0.002869     0.0005435    
LowR9EB_13TeVscale            0.000797     0.007249     0.0004606    
LowR9EE_13TeVscale            4.27e-05     0.0011     0.0003484    
HighR9EBPhi_13TeVsmear        2.084e-05     0.06069     0.001627    
HighR9EBRho_13TeVsmear        6.644e-06     0.01103     0.0005764    
HighR9EEPhi_13TeVsmear        1.515e-05     0.1037     0.002985    
HighR9EERho_13TeVsmear        1.953e-05     0.00716     0.0004178    
LowR9EBPhi_13TeVsmear         4.118e-05     0.04536     0.0001417    
LowR9EBRho_13TeVsmear         1.231e-05     0.005776     0.0003251    
LowR9EEPhi_13TeVsmear         2.548e-05     0.02013     0.0008337    
LowR9EERho_13TeVsmear         7.978e-06     0.001172     0.000159    
MaterialCentral_scale         0.000247     0.002776     0.0003546    
MaterialForward_scale         0.00141     0.007155     0.0006382    

diphotonCat=2
proc=zh
HighR9EB_13TeVscale           0.0005268     0.008988     0.001195    
HighR9EE_13TeVscale           0.0001486     0.003991     8.299e-05    
LowR9EB_13TeVscale            0.000751     0.004583     0.001903    
LowR9EE_13TeVscale            3.483e-05     0.0009183     0.0002387    
HighR9EBPhi_13TeVsmear        4.271e-05     0.05087     0.0006054    
HighR9EBRho_13TeVsmear        5.88e-05     0.01122     0.001297    
HighR9EEPhi_13TeVsmear        0.0001813     0.1007     0.001868    
HighR9EERho_13TeVsmear        1.849e-05     0.01601     0.0001935    
LowR9EBPhi_13TeVsmear         0.0001668     0.06245     0.002409    
LowR9EBRho_13TeVsmear         3.758e-05     0.005572     0.001502    
LowR9EEPhi_13TeVsmear         7.495e-06     0.02899     0.0002166    
LowR9EERho_13TeVsmear         1.486e-05     0.0002615     0.0002475    
MaterialCentral_scale         0.0002746     0.005698     0.0003737    
MaterialForward_scale         0.001385     0.02648     0.001752    


diphotonCat=3
proc=ggh
HighR9EB_13TeVscale           0.0003454     0.001468     6.263e-05    
HighR9EE_13TeVscale           0.0002131     0.0007926     0.0001404    
LowR9EB_13TeVscale            0.0007823     0.003489     0.0003172    
LowR9EE_13TeVscale            8.105e-05     0.0001589     7.207e-05    
HighR9EBPhi_13TeVsmear        8.947e-06     0.02211     0.0002809    
HighR9EBRho_13TeVsmear        4.517e-06     0.00603     0.0002205    
HighR9EEPhi_13TeVsmear        0.0001244     0.1129     0.0005525    
HighR9EERho_13TeVsmear        1.644e-05     0.01151     0.0004263    
LowR9EBPhi_13TeVsmear         4.42e-05     0.05167     0.0002182    
LowR9EBRho_13TeVsmear         1.317e-05     0.004245     5.501e-05    
LowR9EEPhi_13TeVsmear         3.807e-05     0.04555     0.0003403    
LowR9EERho_13TeVsmear         4.844e-06     0.001952     4.432e-05    
MaterialCentral_scale         0.0001757     0.0007548     6.995e-05    
MaterialForward_scale         0.001749     0.004322     9.842e-05    

diphotonCat=3
proc=vbf
HighR9EB_13TeVscale           0.0003268     0.001252     0.0008143    
HighR9EE_13TeVscale           0.0002291     0.001174     0.0006649    
LowR9EB_13TeVscale            0.0006841     0.00725     0.001193    
LowR9EE_13TeVscale            9.008e-05     0.0003553     0.0006046    
HighR9EBPhi_13TeVsmear        3.84e-05     0.01251     0.0009773    
HighR9EBRho_13TeVsmear        8.272e-06     0.004687     0.0009469    
HighR9EEPhi_13TeVsmear        6.853e-05     0.1413     0.0008218    
HighR9EERho_13TeVsmear        3.026e-05     0.01238     0.000217    
LowR9EBPhi_13TeVsmear         9.042e-05     0.04364     0.0009959    
LowR9EBRho_13TeVsmear         3.05e-05     0.002224     0.0005846    
LowR9EEPhi_13TeVsmear         6.208e-05     0.04748     0.001074    
LowR9EERho_13TeVsmear         1.009e-05     0.002207     0.000131    
MaterialCentral_scale         0.0001518     0.001819     0.0005544    
MaterialForward_scale         0.001889     0.01516     0.0003081    

diphotonCat=3
proc=tth
HighR9EB_13TeVscale           0.0004416     0.002915     0.001416    
HighR9EE_13TeVscale           0.0001722     0.006535     0.000297    
LowR9EB_13TeVscale            0.0008706     0.006846     0.0009842    
LowR9EE_13TeVscale            5.541e-05     0.001624     0.0002777    
HighR9EBPhi_13TeVsmear        0.0002192     0.04633     0.002421    
HighR9EBRho_13TeVsmear        5.528e-05     0.004137     0.0008857    
HighR9EEPhi_13TeVsmear        0.0002726     0.09377     0.008285    
HighR9EERho_13TeVsmear        3.542e-05     0.004123     0.0007873    
LowR9EBPhi_13TeVsmear         0.0001804     0.05989     0.003696    
LowR9EBRho_13TeVsmear         4.323e-05     0.001938     0.0009035    
LowR9EEPhi_13TeVsmear         0.0001404     0.03985     0.001322    
LowR9EERho_13TeVsmear         5.757e-05     0.001024     0.0004833    
MaterialCentral_scale         0.0002139     0.001223     0.0004892    
MaterialForward_scale         0.001381     0.01815     0.001389    

diphotonCat=3
proc=wh
HighR9EB_13TeVscale           0.0003461     0.003078     0.0004144    
HighR9EE_13TeVscale           0.0002483     0.002402     0.00047    
LowR9EB_13TeVscale            0.0006822     0.002564     0.0004773    
LowR9EE_13TeVscale            8.224e-05     0.001488     0.0003191    
HighR9EBPhi_13TeVsmear        3.402e-05     0.01027     0.001001    
HighR9EBRho_13TeVsmear        1.765e-05     0.0008483     0.0002703    
HighR9EEPhi_13TeVsmear        0.0003433     0.147     0.007719    
HighR9EERho_13TeVsmear        5.564e-05     0.01575     0.0002561    
LowR9EBPhi_13TeVsmear         7.592e-05     0.05122     0.004212    
LowR9EBRho_13TeVsmear         3.265e-05     0.004328     0.0002685    
LowR9EEPhi_13TeVsmear         6.505e-05     0.04594     0.001314    
LowR9EERho_13TeVsmear         4.508e-05     0.004197     0.0005948    
MaterialCentral_scale         0.0001517     0.001337     0.0006481    
MaterialForward_scale         0.00192     0.009312     0.0004376    

diphotonCat=3
proc=zh
HighR9EB_13TeVscale           0.0003232     0.0008409     0.0004792    
HighR9EE_13TeVscale           0.0002417     0.001875     0.0006049    
LowR9EB_13TeVscale            0.0006388     0.001008     0.000648    
LowR9EE_13TeVscale            0.0001149     0.001415     0.0004853    
HighR9EBPhi_13TeVsmear        0.0002089     0.01052     0.005839    
HighR9EBRho_13TeVsmear        5.604e-05     0.003839     0.0002135    
HighR9EEPhi_13TeVsmear        0.0001667     0.1745     0.000266    
HighR9EERho_13TeVsmear        2.133e-05     0.01073     0.0009299    
LowR9EBPhi_13TeVsmear         0.0002804     0.007884     0.001233    
LowR9EBRho_13TeVsmear         3.475e-05     0.001925     0.0005872    
LowR9EEPhi_13TeVsmear         9.907e-05     0.04918     0.0006057    
LowR9EERho_13TeVsmear         6.066e-06     0.002405     0.000542    
MaterialCentral_scale         0.0001297     0.002173     0.0005457    
MaterialForward_scale         0.001797     0.009707     0.0007973    


diphotonCat=4
proc=ggh
HighR9EB_13TeVscale           0.0007927     0.02516     0.005558    
HighR9EE_13TeVscale           0.0001411     0.008768     0.0009156    
LowR9EB_13TeVscale            0.0004997     0.03515     0.01044    
LowR9EE_13TeVscale            5.551e-06     0.002587     0.002336    
HighR9EBPhi_13TeVsmear        0.0002388     0.105     0.0141    
HighR9EBRho_13TeVsmear        6.984e-05     0.007029     0.002063    
HighR9EEPhi_13TeVsmear        1.905e-05     0.06049     0.001469    
HighR9EERho_13TeVsmear        6.318e-05     0.004885     0.003351    
LowR9EBPhi_13TeVsmear         0.0005705     0.01556     0.02048    
LowR9EBRho_13TeVsmear         2.666e-05     0.006194     0.003999    
LowR9EEPhi_13TeVsmear         0.0002326     0.0009608     0.003685    
LowR9EERho_13TeVsmear         1.094e-05     0.002648     0.002737    
MaterialCentral_scale         0.000238     0.003823     0.003688    
MaterialForward_scale         0.001028     0.02173     0.00347    

diphotonCat=4
proc=vbf
HighR9EB_13TeVscale           0.0006868     0.003745     0.0002384    
HighR9EE_13TeVscale           9.94e-05     0.0004182     0.0002814    
LowR9EB_13TeVscale            0.0007816     0.003915     0.0008797    
LowR9EE_13TeVscale            3.01e-05     0.0003029     0.0002153    
HighR9EBPhi_13TeVsmear        0.0001373     0.1303     0.00108    
HighR9EBRho_13TeVsmear        5.793e-06     0.01891     0.0003227    
HighR9EEPhi_13TeVsmear        5.095e-06     0.05496     0.002611    
HighR9EERho_13TeVsmear        1.418e-05     0.005855     0.0004796    
LowR9EBPhi_13TeVsmear         9.206e-05     0.07422     0.001822    
LowR9EBRho_13TeVsmear         3.524e-05     0.008782     0.0004575    
LowR9EEPhi_13TeVsmear         1.901e-05     0.01631     0.0009691    
LowR9EERho_13TeVsmear         7.274e-06     0.000788     0.000572    
MaterialCentral_scale         0.0003133     0.001108     0.0004302    
MaterialForward_scale         0.0009658     0.009032     0.000481    

diphotonCat=4
proc=tth
HighR9EB_13TeVscale           0.0006789     0.03067     0.01383    
HighR9EE_13TeVscale           0.0003509     0.008862     0.009304    
LowR9EB_13TeVscale            0.0006916     0.03397     0.01143    
LowR9EE_13TeVscale            0.0001526     0.007006     0.005857    
HighR9EBPhi_13TeVsmear        0.0004311     0.321     0.05205    
HighR9EBRho_13TeVsmear        0.0001772     0.02161     0.005298    
HighR9EEPhi_13TeVsmear        0.0006335     0.02294     0.03965    
HighR9EERho_13TeVsmear        0.0003796     0.01327     0.009777    
LowR9EBPhi_13TeVsmear         0.002241     0.08739     0.02209    
LowR9EBRho_13TeVsmear         0.0001543     0.01609     0.009104    
LowR9EEPhi_13TeVsmear         0.0003746     0.01004     0.00576    
LowR9EERho_13TeVsmear         0.00011     0.001762     0.001791    
MaterialCentral_scale         0.0001405     0.01374     0.002122    
MaterialForward_scale         0.00137     0.02058     0.005635    

diphotonCat=4
proc=wh
HighR9EB_13TeVscale           0.0007762     0.07637     0.01029    
HighR9EE_13TeVscale           0.000164     0.004025     0.005843    
LowR9EB_13TeVscale            0.001164     0.03841     0.006118    
LowR9EE_13TeVscale            0.0001037     0.00294     0.002441    
HighR9EBPhi_13TeVsmear        0.001293     0.09551     0.05598    
HighR9EBRho_13TeVsmear        0.0001258     0.08323     0.01041    
HighR9EEPhi_13TeVsmear        0.0003406     0.01492     0.03075    
HighR9EERho_13TeVsmear        0.0001678     0.002981     0.001916    
LowR9EBPhi_13TeVsmear         0.0002415     0.0112     0.01674    
LowR9EBRho_13TeVsmear         0.0004316     0.008905     0.0134    
LowR9EEPhi_13TeVsmear         0.0001725     0.008754     0.03232    
LowR9EERho_13TeVsmear         7.912e-05     6.248e-06     2.629e-08    
MaterialCentral_scale         0.0004603     0.01841     0.014    
MaterialForward_scale         0.0003276     0.004836     0.007202    

diphotonCat=4
proc=zh
HighR9EB_13TeVscale           0.0008386     0.05328     0.03188    
HighR9EE_13TeVscale           0.0005703     0.04497     0.04058    
LowR9EB_13TeVscale            0.0005374     0.06453     0.01059    
LowR9EE_13TeVscale            2.577e-05     0.004958     0.01198    
HighR9EBPhi_13TeVsmear        0.005204     0.08664     0.04309    
HighR9EBRho_13TeVsmear        0.001304     0.1063     0.05537    
HighR9EEPhi_13TeVsmear        0.0001399     0.03663     0.1112    
HighR9EERho_13TeVsmear        0.0003903     0.01943     0.008    
LowR9EBPhi_13TeVsmear         0.0007809     0.07622     0.03815    
LowR9EBRho_13TeVsmear         0.000681     0.01988     0.01661    
LowR9EEPhi_13TeVsmear         0.001067     0.01889     0.005279    
LowR9EERho_13TeVsmear         2.491e-05     0.001425     0.01198    
MaterialCentral_scale         0.0008753     0.0094     0.0277    
MaterialForward_scale         0.001138     0.09064     0.05496    


diphotonCat=5
proc=ggh
HighR9EB_13TeVscale           0.0005719     0.007846     0.005673    
HighR9EE_13TeVscale           4.708e-05     0.002321     0.0005124    
LowR9EB_13TeVscale            0.0007054     0.009473     0.005722    
LowR9EE_13TeVscale            5.248e-05     0.001784     0.0008302    
HighR9EBPhi_13TeVsmear        7.044e-05     0.08864     0.007337    
HighR9EBRho_13TeVsmear        9.378e-05     0.01546     0.003077    
HighR9EEPhi_13TeVsmear        4.654e-05     0.07379     5.908e-05    
HighR9EERho_13TeVsmear        9.84e-05     0.007229     0.002966    
LowR9EBPhi_13TeVsmear         0.0001549     0.0542     0.02554    
LowR9EBRho_13TeVsmear         5.488e-05     0.006206     0.003697    
LowR9EEPhi_13TeVsmear         0.0001952     0.03516     0.000244    
LowR9EERho_13TeVsmear         6.244e-05     0.000693     0.0002105    
MaterialCentral_scale         0.0004435     0.007675     0.00652    
MaterialForward_scale         0.000829     0.008003     0.002809    

diphotonCat=5
proc=vbf
HighR9EB_13TeVscale           0.0006177     0.006256     0.0004954    
HighR9EE_13TeVscale           0.0001073     0.002365     0.0005277    
LowR9EB_13TeVscale            0.0006988     0.008198     0.001421    
LowR9EE_13TeVscale            3.1e-05     0.001064     0.0002137    
HighR9EBPhi_13TeVsmear        0.0001207     0.06766     0.001013    
HighR9EBRho_13TeVsmear        3.166e-05     0.01145     0.00132    
HighR9EEPhi_13TeVsmear        7.445e-05     0.08284     0.003784    
HighR9EERho_13TeVsmear        1.673e-06     0.005768     0.0009051    
